TagID,Capability,Sub
88,Perform Strategic Planning,Budgeting - Workforce
89,Perform Strategic Planning,Forecasting
90,,Budgeting - Financials
91,Company Work Plans,Project Related Billing
92,,SPC - Complete Corrective Maintenance Work
93,,Define Option for PeopleSoft CRM
94,,HCM Cloud in PI 3
95,,Classic - Complete Corrective Maintenance Work
96,,General Process Design - Master Data
97,Manage Billings,Miscellaneous Billings & Revenue
98,Procure Goods and Services,Expense Reimbursements
99,,Conversions
100,Record Accounting Transactions,General Ledger Accounting
101,,Enterprise Process Alignment
102,,Define Management Reporting Needs
103,,HR Reporting Strategy - Workstream Governance
104,,STARS Integration Strategy
105,,Current State Time Process Assessment
106,Project Execution & Accounting,Interface (Valid POET values)
107,,Current state payroll process assessment
108,,[R2] Pay Processes for POET
109,,[R2] Manage Departments & PeopleSoft Security
110,Expense Reimbursements,General Process Design - Expenses
111,,[R2] Shell Application Security Strategy
112,,[R2] Manage Impacts to Legacy Applications
113,,"[R2] Integration, User, and Downstream Testing for SPC for PI5"
114,,"[R2] Integration, User, and Downstream Testing for SPC for PI4"
115,,"[R2] Integration, User, and Downstream Testing for SPC for PI 3"
116,,[R2] Design Daily Integration of Workforce Shell
117,,[R2] Prepare and Manage Deployment for SPC
118,,Define tuition reimbursement options
119,,Define CWR strategy owned by HR
120,,Conversion SPC
121,,Release 2 Quality Assurance - SIT1 Preparation
122,,SPC - Asset Life Cycle (LC) Management
123,,SPC - Execute Corrective Maintenance Work
124,,Integration SPC
125,Manage Cash and Treasury,Bank Reconciliations
126,,Data Validation and Reconciliation Readiness (Pi 3)
127,,Define Vision for Automation (PI 3)
128,Procure Goods and Services,Manage Vendor Payments
129,Manage Billings,Customer Payments
130,,HR Reporting 
131,,HR Reporting Strategy
132,Technology Enablement,DevOps - Continuous Integration
133,,Understand Talent Management Strategy
134,,Workforce History Conversion Strategy
135,,Autosys Job Creation
136,,PowerPlan Interfaces
137,,EPBCS Interfaces
138,,Maximo Interfaces
139,,Maximo Invoice Status (Hold Resolutions) Integrations
140,,Vertex Enterprise Integrations
141,,Extract for 1099 Integrations
142,,WO Creation Integrations
143,,Project Status Integrations
144,,POET Values Integrations
145,,Master Data Create Expenditure Types Integrations
146,,Master Data Integrations
147,,Roles and Entitlements Integrations
148,,Inbound Lockbox / Receipt file Integrations
149,,Bank Statement Files (BAI2) Integrations
150,,Payment files (ACH/WIRE) Integrations
151,,Payment files (Positive Pay) Integrations
152,,Credit Card Transaction (iExpense) Integrations
153,,Supplier Master Integrations
154,,AP Invoice Status/Holds Integrations
155,,Coa Validation Integrations
156,,Bank Statement Files BOA Integrations
157,,GL Actuals Integrations
158,,POET Value Validation Integrations
159,,Gl Cost Accounting Integrations
160,,AP Uncashed Checks Integrations
161,,Ap Reimbursements And Recovery Integrations
162,,AP Taxable Reimbursements Integrations
163,,AR Customers Integrations
164,,AP Invoice Integrations
165,,PO Receipts Integrations
166,,Purchase Orders Integrations
167,,MWO Tasks Integrations
168,,Labor Actuals and Expenditures Integrations
169,,Actuals Costs Integrations
170,,Payment Status/Acknowledgement Integrations
171,,Journal Approval Groups Integrations
172,,CoA Segments and Heirarchies Integrations
173,,Journals Integrations
174,,AR Invoice Integrations
175,,[R2] GSI Integration Strategy
176,,Define Regulatory Reporting
177,,Alignment on the Enterprise Reporting Hierarchies: Assigment of hierarchies by solution
178,,SPC Legacy support
179,,SPC Legacy alignment
180,,Mature Agile process
181,,Program Reporting
182,Plan and manage customer service operations,Manage customer complaints
183,Plan and manage customer service operations,Manage customer service requests/inquiries
184,Plan and manage customer service operations,Manage customer service workforce
185,Measure and evaluate customer satisfaction,Measure customer satisfaction level
